Specialization,Case Type,Case Number,Lawyer ID,Win/Lose
Criminal Lawyer,Drug,1017,1000,1
Criminal Lawyer,Drug,1023,1000,0
Immigration Lawyer,Deportation,1016,1010,1
Business Lawyer,BusinessFraud,1037,1012,0
Business Lawyer,ContractDispute,1042,1013,0
Business Lawyer,IntellectualProperty,1054,1012,0
Criminal Lawyer,Murder,1004,1000,0
Business Lawyer,IntellectualProperty,1010,1012,0
Criminal Lawyer,Murder,1033,1000,0
Business Lawyer,IntellectualProperty,1002,1014,1
Immigration Lawyer,Deportation,1021,1008,1
Tax Lawyer,IRSAudit,1002,1019,1
Business Lawyer,IntellectualProperty,1025,1012,1
Business Lawyer,BusinessFraud,1023,1014,0
Tax Lawyer,IRSAudit,1015,1017,1
Family Lawyer,ChildCustody,1015,1005,1
Tax Lawyer,TaxFraud,1015,1019,0
Tax Lawyer,TaxFraud,1054,1016,0
Criminal Lawyer,Murder,1023,1002,0
Criminal Lawyer,Drug,1027,1000,0
Family Lawyer,Adoption,1028,1004,1
Business Lawyer,BusinessFraud,1028,1013,0
Tax Lawyer,TaxFraud,1002,1016,0
Business Lawyer,BusinessFraud,1057,1014,1
Immigration Lawyer,Deportation,1033,1010,0
Criminal Lawyer,Assault,1005,1002,1
Family Lawyer,ChildCustody,1027,1006,1
Tax Lawyer,IRSAudit,1004,1016,0
Tax Lawyer,TaxEvasion,1006,1017,0
Business Lawyer,ContractDispute,1040,1012,0
Tax Lawyer,TaxEvasion,1010,1019,1
Business Lawyer,IntellectualProperty,1002,1012,1
Criminal Lawyer,Burglary,1029,1001,0
Tax Lawyer,IRSAudit,1003,1016,0
Immigration Lawyer,VisaApplication,1008,1008,1
Business Lawyer,BusinessFraud,1013,1013,0
Business Lawyer,ContractDispute,1046,1013,0
Business Lawyer,ContractDispute,1007,1013,1
Business Lawyer,BusinessFraud,1007,1012,0
Immigration Lawyer,Asylum,1018,1009,0
Immigration Lawyer,VisaApplication,1011,1009,1
Immigration Lawyer,Deportation,1054,1010,1
Immigration Lawyer,Deportation,1007,1008,0
Immigration Lawyer,VisaApplication,1008,1009,1
Criminal Lawyer,Robbery,1012,1000,1
Business Lawyer,BusinessFraud,1023,1014,0
Immigration Lawyer,Asylum,1039,1010,0
Tax Lawyer,TaxFraud,1005,1017,0
Immigration Lawyer,VisaApplication,1008,1009,1
Business Lawyer,BusinessFraud,1012,1013,1
Business Lawyer,ContractDispute,1005,1014,1
Criminal Lawyer,Burglary,1017,1002,1
Criminal Lawyer,Assault,1007,1000,1
Family Lawyer,Adoption,1006,1006,1
Tax Lawyer,TaxFraud,1024,1019,1
Business Lawyer,ContractDispute,1043,1014,1
Family Lawyer,ChildCustody,1015,1006,1
Business Lawyer,IntellectualProperty,1032,1014,1
Immigration Lawyer,Deportation,1005,1008,1
Family Lawyer,Divorce,1023,1005,1
Criminal Lawyer,Drug,1037,1002,1
Family Lawyer,Divorce,1010,1006,1
Criminal Lawyer,Assault,1011,1002,1
Tax Lawyer,TaxEvasion,1021,1018,0
Business Lawyer,IntellectualProperty,1007,1014,1
Business Lawyer,BusinessFraud,1009,1013,0
Business Lawyer,IntellectualProperty,1022,1014,0
Tax Lawyer,TaxFraud,1007,1017,1
Criminal Lawyer,Murder,1012,1002,1
Immigration Lawyer,VisaApplication,1045,1009,1
Criminal Lawyer,Murder,1003,1000,0
Family Lawyer,Divorce,1027,1005,1
Criminal Lawyer,Burglary,1007,1001,0
Business Lawyer,BusinessFraud,1022,1012,0
Criminal Lawyer,Burglary,1007,1001,0
Criminal Lawyer,Burglary,1035,1002,0
Immigration Lawyer,Deportation,1018,1008,1
Business Lawyer,IntellectualProperty,1046,1014,1
Tax Lawyer,TaxFraud,1014,1017,0
Immigration Lawyer,VisaApplication,1014,1008,1
Tax Lawyer,TaxFraud,1054,1016,0
Immigration Lawyer,Asylum,1030,1008,1
Business Lawyer,BusinessFraud,1032,1013,1
Family Lawyer,Divorce,1007,1006,1
Business Lawyer,IntellectualProperty,1025,1013,1
Business Lawyer,ContractDispute,1028,1014,1
Business Lawyer,BusinessFraud,1009,1012,0
Criminal Lawyer,Murder,1033,1000,0
Criminal Lawyer,Drug,1032,1002,0
Business Lawyer,BusinessFraud,1053,1014,0
Criminal Lawyer,Drug,1018,1001,0
Business Lawyer,BusinessFraud,1047,1013,1
Immigration Lawyer,VisaApplication,1047,1010,1
Business Lawyer,BusinessFraud,1036,1014,1
Immigration Lawyer,Deportation,1003,1008,1
Tax Lawyer,IRSAudit,1052,1016,1
Tax Lawyer,IRSAudit,1025,1017,0
Immigration Lawyer,Asylum,1026,1008,1
Immigration Lawyer,Deportation,1033,1009,1
Immigration Lawyer,VisaApplication,1017,1010,0
Criminal Lawyer,Assault,1005,1002,1
Criminal Lawyer,Burglary,1024,1001,0
Immigration Lawyer,Deportation,1051,1010,1
Business Lawyer,BusinessFraud,1031,1013,0
Business Lawyer,IntellectualProperty,1033,1012,1
Business Lawyer,ContractDispute,1045,1014,0
Immigration Lawyer,Asylum,1025,1008,0
Tax Lawyer,IRSAudit,1015,1017,1
Business Lawyer,IntellectualProperty,1024,1012,0
Tax Lawyer,IRSAudit,1030,1016,0
Criminal Lawyer,Burglary,1042,1002,1
Business Lawyer,IntellectualProperty,1007,1014,1
Immigration Lawyer,VisaApplication,1005,1009,1
Business Lawyer,ContractDispute,1043,1014,1
Tax Lawyer,IRSAudit,1015,1018,1
Immigration Lawyer,VisaApplication,1009,1010,0
Family Lawyer,Divorce,1022,1005,0
Criminal Lawyer,Burglary,1008,1000,0
Tax Lawyer,IRSAudit,1023,1018,0
Criminal Lawyer,Burglary,1008,1001,1
Tax Lawyer,TaxEvasion,1042,1016,0
Tax Lawyer,TaxFraud,1021,1016,1
Tax Lawyer,IRSAudit,1030,1016,0
Criminal Lawyer,Assault,1002,1001,0
Family Lawyer,Adoption,1017,1006,0
Business Lawyer,BusinessFraud,1016,1012,1
Business Lawyer,ContractDispute,1033,1013,0
Tax Lawyer,TaxFraud,1023,1019,0
Business Lawyer,ContractDispute,1006,1013,0
Family Lawyer,ChildCustody,1010,1005,0
Immigration Lawyer,VisaApplication,1021,1009,1
Business Lawyer,ContractDispute,1033,1014,0
Family Lawyer,Adoption,1024,1005,0
Business Lawyer,BusinessFraud,1056,1014,0
Immigration Lawyer,Asylum,1036,1009,0
Immigration Lawyer,Deportation,1001,1008,0
Tax Lawyer,IRSAudit,1028,1017,1
Immigration Lawyer,Deportation,1021,1008,1
Business Lawyer,ContractDispute,1033,1014,0
Business Lawyer,BusinessFraud,1029,1013,1
Immigration Lawyer,Asylum,1023,1010,1
Family Lawyer,Adoption,1026,1005,1
Criminal Lawyer,Burglary,1001,1000,1
Business Lawyer,BusinessFraud,1038,1014,1
Tax Lawyer,IRSAudit,1040,1016,1
Business Lawyer,BusinessFraud,1018,1013,0
Business Lawyer,ContractDispute,1025,1014,1
Immigration Lawyer,VisaApplication,1026,1010,1
Business Lawyer,ContractDispute,1003,1013,0
Criminal Lawyer,Drug,1015,1002,1
Immigration Lawyer,Deportation,1017,1008,0
Criminal Lawyer,Assault,1002,1001,0
Immigration Lawyer,VisaApplication,1055,1010,1
Business Lawyer,IntellectualProperty,1009,1014,1
Immigration Lawyer,Deportation,1049,1010,0
Criminal Lawyer,Robbery,1035,1000,0
Business Lawyer,ContractDispute,1048,1013,0
Immigration Lawyer,Asylum,1007,1010,0
Tax Lawyer,IRSAudit,1017,1016,0
Business Lawyer,ContractDispute,1039,1013,1
Immigration Lawyer,Asylum,1057,1010,1
Family Lawyer,Adoption,1030,1004,1
Business Lawyer,BusinessFraud,1040,1014,1
Immigration Lawyer,Asylum,1001,1009,0
Criminal Lawyer,Assault,1005,1001,1
Tax Lawyer,TaxFraud,1012,1019,1
Business Lawyer,IntellectualProperty,1011,1013,1
Criminal Lawyer,Assault,1002,1001,0
Criminal Lawyer,Assault,1006,1002,0
Business Lawyer,IntellectualProperty,1030,1013,0
Business Lawyer,BusinessFraud,1045,1012,0
Tax Lawyer,IRSAudit,1028,1019,1
Criminal Lawyer,Assault,1032,1000,1
Family Lawyer,Adoption,1028,1005,1
Tax Lawyer,IRSAudit,1023,1018,0
Tax Lawyer,IRSAudit,1015,1018,1
Family Lawyer,Divorce,1011,1006,1
Tax Lawyer,TaxEvasion,1014,1018,1
Tax Lawyer,TaxFraud,1031,1016,1
Family Lawyer,Adoption,1028,1005,1
Immigration Lawyer,VisaApplication,1004,1009,1
Criminal Lawyer,Drug,1033,1002,0
Tax Lawyer,IRSAudit,1006,1016,1
Business Lawyer,ContractDispute,1024,1013,1
Family Lawyer,Adoption,1026,1005,1
Family Lawyer,ChildCustody,1014,1005,1
Tax Lawyer,TaxFraud,1021,1019,0
Immigration Lawyer,Deportation,1056,1010,1
Business Lawyer,BusinessFraud,1004,1013,0
Tax Lawyer,TaxFraud,1007,1016,0
Immigration Lawyer,Asylum,1024,1010,0
Criminal Lawyer,Murder,1001,1001,1
Business Lawyer,ContractDispute,1015,1013,1
Business Lawyer,BusinessFraud,1011,1014,1
Tax Lawyer,IRSAudit,1020,1016,0
Immigration Lawyer,Asylum,1018,1010,0
Criminal Lawyer,Robbery,1010,1002,1
Family Lawyer,Adoption,1023,1006,1
Immigration Lawyer,Deportation,1011,1008,1
Family Lawyer,ChildCustody,1015,1005,1
Immigration Lawyer,Deportation,1054,1010,1
Immigration Lawyer,Asylum,1025,1008,0
Business Lawyer,BusinessFraud,1038,1014,1
Family Lawyer,Divorce,1040,1004,1
Family Lawyer,Adoption,1029,1004,1
Business Lawyer,BusinessFraud,1011,1014,1
Immigration Lawyer,Deportation,1004,1008,0
Criminal Lawyer,Robbery,1016,1002,0
Criminal Lawyer,Assault,1006,1000,1
Immigration Lawyer,Deportation,1005,1010,1
Tax Lawyer,TaxFraud,1012,1018,0
Family Lawyer,Divorce,1023,1004,0
Criminal Lawyer,Assault,1008,1002,0
Family Lawyer,Adoption,1004,1004,0
Tax Lawyer,TaxEvasion,1045,1016,0
Criminal Lawyer,Burglary,1014,1001,0
Family Lawyer,Divorce,1003,1006,0
Criminal Lawyer,Drug,1015,1002,1
Immigration Lawyer,VisaApplication,1030,1010,1
Criminal Lawyer,Robbery,1002,1000,1
Immigration Lawyer,Asylum,1001,1009,0
Tax Lawyer,TaxFraud,1004,1019,1
Criminal Lawyer,Robbery,1031,1000,1
Criminal Lawyer,Assault,1007,1000,1
Immigration Lawyer,Asylum,1042,1010,1
Immigration Lawyer,Asylum,1030,1008,1
Business Lawyer,BusinessFraud,1022,1013,1
Business Lawyer,ContractDispute,1021,1012,0
Tax Lawyer,TaxEvasion,1027,1016,1
Tax Lawyer,IRSAudit,1015,1016,1
Business Lawyer,BusinessFraud,1012,1013,1
Immigration Lawyer,Asylum,1014,1009,0
Criminal Lawyer,Drug,1020,1001,0
Tax Lawyer,IRSAudit,1009,1019,1
Tax Lawyer,TaxEvasion,1021,1018,0
Tax Lawyer,IRSAudit,1028,1019,1
Tax Lawyer,TaxEvasion,1053,1016,1
Tax Lawyer,TaxFraud,1016,1017,0
Tax Lawyer,IRSAudit,1023,1017,1
Business Lawyer,IntellectualProperty,1002,1014,1
Criminal Lawyer,Assault,1008,1002,0
Family Lawyer,Adoption,1028,1004,1
Business Lawyer,IntellectualProperty,1003,1012,0
Tax Lawyer,IRSAudit,1006,1019,1
Business Lawyer,ContractDispute,1043,1014,1
Immigration Lawyer,VisaApplication,1052,1010,0
Criminal Lawyer,Assault,1013,1001,0
Criminal Lawyer,Assault,1005,1002,1
Business Lawyer,ContractDispute,1048,1014,0
Business Lawyer,BusinessFraud,1009,1013,0
Immigration Lawyer,Asylum,1030,1009,0
Family Lawyer,Adoption,1001,1006,1
Business Lawyer,IntellectualProperty,1011,1013,1
Business Lawyer,IntellectualProperty,1021,1014,1
Business Lawyer,BusinessFraud,1037,1014,1
Family Lawyer,Divorce,1014,1004,0
Immigration Lawyer,Deportation,1056,1010,1
Business Lawyer,ContractDispute,1001,1014,1
Tax Lawyer,IRSAudit,1006,1019,1
Business Lawyer,ContractDispute,1033,1013,0
Immigration Lawyer,Deportation,1016,1010,1
Business Lawyer,BusinessFraud,1016,1012,1
Tax Lawyer,TaxEvasion,1018,1017,0
Family Lawyer,ChildCustody,1011,1004,0
Immigration Lawyer,Asylum,1011,1010,0
Business Lawyer,IntellectualProperty,1036,1012,0
Tax Lawyer,TaxFraud,1007,1019,1
Immigration Lawyer,VisaApplication,1005,1009,1
Tax Lawyer,IRSAudit,1001,1018,1
Family Lawyer,Divorce,1008,1004,0
Tax Lawyer,TaxEvasion,1005,1019,0
Tax Lawyer,IRSAudit,1025,1018,0
Tax Lawyer,TaxFraud,1036,1016,0
Tax Lawyer,TaxEvasion,1027,1019,1
Criminal Lawyer,Murder,1038,1000,0
Family Lawyer,Divorce,1022,1004,1
Business Lawyer,BusinessFraud,1018,1013,0
Immigration Lawyer,Deportation,1007,1008,0
Family Lawyer,ChildCustody,1037,1004,1
Family Lawyer,Adoption,1006,1006,1
Tax Lawyer,IRSAudit,1040,1016,1
Immigration Lawyer,VisaApplication,1055,1010,1
Family Lawyer,ChildCustody,1005,1006,0
Tax Lawyer,TaxEvasion,1013,1019,0
Family Lawyer,ChildCustody,1017,1005,1
Family Lawyer,Divorce,1024,1006,1
Tax Lawyer,IRSAudit,1001,1016,0
Criminal Lawyer,Drug,1026,1001,0
Immigration Lawyer,Deportation,1025,1010,0
Criminal Lawyer,Robbery,1034,1000,1
Tax Lawyer,TaxEvasion,1013,1019,0
Immigration Lawyer,Deportation,1023,1009,1
Family Lawyer,Divorce,1003,1006,0
Criminal Lawyer,Drug,1023,1000,0
Business Lawyer,ContractDispute,1011,1012,1
Tax Lawyer,TaxEvasion,1008,1016,0
Family Lawyer,Divorce,1027,1004,0
Business Lawyer,ContractDispute,1011,1012,1
Immigration Lawyer,Asylum,1001,1010,1
Business Lawyer,BusinessFraud,1044,1012,1
Tax Lawyer,IRSAudit,1001,1016,0
Tax Lawyer,IRSAudit,1041,1016,1
Immigration Lawyer,Asylum,1038,1010,0
Business Lawyer,ContractDispute,1019,1014,0
Immigration Lawyer,VisaApplication,1038,1009,0
Family Lawyer,Divorce,1027,1004,0
Business Lawyer,BusinessFraud,1020,1012,0
Criminal Lawyer,Burglary,1041,1000,0
Immigration Lawyer,VisaApplication,1014,1008,1
Immigration Lawyer,Deportation,1016,1009,1
Criminal Lawyer,Robbery,1006,1001,1
Criminal Lawyer,Assault,1043,1002,1
Family Lawyer,ChildCustody,1017,1005,1
Criminal Lawyer,Assault,1010,1001,0
Criminal Lawyer,Drug,1017,1000,1
Criminal Lawyer,Murder,1001,1001,1
Immigration Lawyer,VisaApplication,1014,1010,0
Tax Lawyer,TaxFraud,1009,1018,0
Immigration Lawyer,VisaApplication,1053,1010,0
Immigration Lawyer,Asylum,1042,1009,1
Criminal Lawyer,Assault,1005,1000,0
Business Lawyer,BusinessFraud,1022,1013,1
Tax Lawyer,TaxEvasion,1014,1018,1
Family Lawyer,Adoption,1013,1005,1
Family Lawyer,Adoption,1004,1004,0
Family Lawyer,Adoption,1017,1006,0
Tax Lawyer,IRSAudit,1020,1016,0
Family Lawyer,Divorce,1022,1005,0
Business Lawyer,IntellectualProperty,1029,1012,1
Immigration Lawyer,Deportation,1007,1009,0
Tax Lawyer,TaxFraud,1021,1017,0
Business Lawyer,IntellectualProperty,1037,1013,0
Tax Lawyer,IRSAudit,1039,1016,1
Tax Lawyer,IRSAudit,1037,1016,1
Family Lawyer,Divorce,1020,1005,1
Immigration Lawyer,Deportation,1015,1008,0
Business Lawyer,ContractDispute,1027,1014,1
Tax Lawyer,TaxFraud,1021,1017,0
Immigration Lawyer,VisaApplication,1037,1009,0
Tax Lawyer,TaxEvasion,1030,1017,1
Criminal Lawyer,Murder,1034,1002,1
Business Lawyer,BusinessFraud,1004,1013,0
Immigration Lawyer,Deportation,1002,1010,0
Immigration Lawyer,VisaApplication,1017,1009,0
Immigration Lawyer,Deportation,1015,1008,0
Tax Lawyer,IRSAudit,1038,1016,0
Tax Lawyer,IRSAudit,1009,1019,1
Tax Lawyer,TaxFraud,1035,1016,1
Immigration Lawyer,Deportation,1007,1009,0
Immigration Lawyer,VisaApplication,1053,1010,0
Criminal Lawyer,Robbery,1030,1002,1
Business Lawyer,IntellectualProperty,1045,1013,0
Business Lawyer,BusinessFraud,1027,1013,1
Business Lawyer,BusinessFraud,1008,1012,0
Business Lawyer,IntellectualProperty,1020,1013,0
Tax Lawyer,TaxEvasion,1014,1018,1
Tax Lawyer,TaxEvasion,1047,1016,0
Tax Lawyer,TaxEvasion,1053,1016,1
Immigration Lawyer,Asylum,1028,1008,0
Tax Lawyer,IRSAudit,1023,1017,1
Immigration Lawyer,VisaApplication,1030,1010,1
Immigration Lawyer,Deportation,1033,1009,1
Criminal Lawyer,Burglary,1041,1000,0
Business Lawyer,BusinessFraud,1034,1014,0
Tax Lawyer,TaxFraud,1009,1018,0
Immigration Lawyer,Deportation,1023,1008,1
Business Lawyer,BusinessFraud,1029,1014,1
Immigration Lawyer,VisaApplication,1009,1008,1
Tax Lawyer,TaxFraud,1031,1016,1
Business Lawyer,BusinessFraud,1027,1012,1
Business Lawyer,IntellectualProperty,1034,1012,1
Business Lawyer,IntellectualProperty,1012,1014,1
Tax Lawyer,IRSAudit,1044,1016,1
Tax Lawyer,TaxFraud,1013,1016,0
Tax Lawyer,TaxFraud,1023,1019,0
Immigration Lawyer,Deportation,1019,1010,0
Tax Lawyer,TaxFraud,1007,1018,0
Family Lawyer,Adoption,1009,1004,0
Tax Lawyer,TaxFraud,1012,1017,0
Tax Lawyer,TaxFraud,1013,1016,0
Business Lawyer,IntellectualProperty,1002,1012,1
Immigration Lawyer,VisaApplication,1016,1008,1
Criminal Lawyer,Burglary,1020,1002,1
Tax Lawyer,TaxEvasion,1017,1017,0
Business Lawyer,ContractDispute,1040,1012,0
Criminal Lawyer,Drug,1020,1000,1
Family Lawyer,ChildCustody,1012,1004,0
Family Lawyer,ChildCustody,1009,1005,1
Business Lawyer,ContractDispute,1001,1014,1
Tax Lawyer,TaxEvasion,1042,1016,0
Business Lawyer,ContractDispute,1039,1013,1
Criminal Lawyer,Burglary,1008,1001,1
Tax Lawyer,TaxEvasion,1021,1018,0
Business Lawyer,ContractDispute,1019,1014,0
Business Lawyer,ContractDispute,1006,1012,0
Business Lawyer,BusinessFraud,1026,1014,1
Business Lawyer,BusinessFraud,1031,1014,0
Immigration Lawyer,Asylum,1006,1010,1
Criminal Lawyer,Robbery,1026,1002,0
Criminal Lawyer,Murder,1041,1002,0
Immigration Lawyer,Deportation,1046,1010,0
Tax Lawyer,TaxFraud,1043,1016,1
Immigration Lawyer,VisaApplication,1045,1009,1
Immigration Lawyer,VisaApplication,1045,1009,1
Business Lawyer,ContractDispute,1007,1013,1
Immigration Lawyer,VisaApplication,1026,1009,0
Family Lawyer,ChildCustody,1011,1004,0
Business Lawyer,ContractDispute,1028,1012,0
Family Lawyer,Adoption,1036,1004,0
Family Lawyer,ChildCustody,1016,1006,0
Tax Lawyer,TaxFraud,1035,1016,1
Family Lawyer,Divorce,1011,1006,1
Tax Lawyer,TaxFraud,1002,1017,0
Tax Lawyer,TaxFraud,1007,1016,0
Immigration Lawyer,VisaApplication,1004,1009,1
Business Lawyer,IntellectualProperty,1051,1013,1
Immigration Lawyer,Asylum,1043,1010,0
Tax Lawyer,TaxFraud,1004,1019,1
Criminal Lawyer,Murder,1012,1001,0
Family Lawyer,Divorce,1032,1004,1
Criminal Lawyer,Drug,1033,1002,0
Tax Lawyer,TaxEvasion,1027,1016,1
Family Lawyer,Adoption,1006,1006,1
Immigration Lawyer,VisaApplication,1052,1010,0
Business Lawyer,ContractDispute,1014,1013,1
Criminal Lawyer,Drug,1017,1001,0
Immigration Lawyer,VisaApplication,1022,1009,1
Immigration Lawyer,Asylum,1024,1010,0
Family Lawyer,Divorce,1011,1005,1
Criminal Lawyer,Burglary,1030,1000,0
Criminal Lawyer,Drug,1040,1002,0
Business Lawyer,ContractDispute,1007,1013,1
Immigration Lawyer,VisaApplication,1015,1009,0
Family Lawyer,ChildCustody,1019,1004,0
Immigration Lawyer,Asylum,1022,1008,1
Criminal Lawyer,Burglary,1015,1001,1
Criminal Lawyer,Assault,1005,1000,0
Criminal Lawyer,Murder,1040,1000,0
Business Lawyer,ContractDispute,1017,1012,0
Business Lawyer,ContractDispute,1033,1014,0
Immigration Lawyer,Deportation,1050,1010,1
Immigration Lawyer,Deportation,1025,1010,0
Business Lawyer,ContractDispute,1042,1013,0
Immigration Lawyer,VisaApplication,1006,1008,0
Business Lawyer,BusinessFraud,1026,1013,1
Business Lawyer,ContractDispute,1005,1014,1
Immigration Lawyer,VisaApplication,1011,1009,1
Criminal Lawyer,Robbery,1021,1001,0
Tax Lawyer,IRSAudit,1005,1016,0
Criminal Lawyer,Murder,1040,1000,0
Criminal Lawyer,Robbery,1002,1000,1
Tax Lawyer,TaxFraud,1007,1019,1
Immigration Lawyer,Asylum,1002,1008,1
Immigration Lawyer,VisaApplication,1014,1008,1
Criminal Lawyer,Robbery,1006,1001,1
Business Lawyer,BusinessFraud,1027,1012,1
Immigration Lawyer,Asylum,1018,1010,0
Family Lawyer,Divorce,1018,1005,1
Family Lawyer,Divorce,1003,1006,0
Business Lawyer,IntellectualProperty,1025,1013,1
Tax Lawyer,IRSAudit,1016,1018,1
Tax Lawyer,IRSAudit,1011,1016,0
Criminal Lawyer,Murder,1004,1001,1
Business Lawyer,IntellectualProperty,1044,1013,1
Tax Lawyer,TaxFraud,1003,1017,1
Criminal Lawyer,Robbery,1003,1001,0
Criminal Lawyer,Burglary,1001,1000,1
Tax Lawyer,IRSAudit,1001,1018,1
Criminal Lawyer,Murder,1023,1002,0
Family Lawyer,Adoption,1025,1005,0
Criminal Lawyer,Burglary,1024,1001,0
Immigration Lawyer,Deportation,1006,1009,0
Criminal Lawyer,Robbery,1018,1002,0
Family Lawyer,ChildCustody,1016,1006,0
Business Lawyer,BusinessFraud,1004,1013,0
Immigration Lawyer,VisaApplication,1012,1010,1
Family Lawyer,ChildCustody,1010,1005,0
Criminal Lawyer,Assault,1019,1000,1
Tax Lawyer,TaxFraud,1022,1017,0
Tax Lawyer,TaxEvasion,1017,1017,0
Family Lawyer,ChildCustody,1019,1006,0
Business Lawyer,IntellectualProperty,1040,1013,0
Business Lawyer,BusinessFraud,1017,1013,1
Immigration Lawyer,Asylum,1038,1010,0
Criminal Lawyer,Assault,1001,1002,0
Family Lawyer,Adoption,1031,1004,1
Tax Lawyer,TaxEvasion,1006,1017,0
Criminal Lawyer,Drug,1020,1001,0
Family Lawyer,Divorce,1025,1006,0
Criminal Lawyer,Drug,1028,1001,1
Immigration Lawyer,Asylum,1028,1008,0
Business Lawyer,BusinessFraud,1032,1012,1
Immigration Lawyer,VisaApplication,1006,1008,0
Immigration Lawyer,Deportation,1007,1008,0
Family Lawyer,Divorce,1035,1004,0
Immigration Lawyer,VisaApplication,1003,1010,1
Tax Lawyer,TaxFraud,1019,1017,0
Family Lawyer,ChildCustody,1017,1005,1
Business Lawyer,ContractDispute,1001,1012,0
Business Lawyer,IntellectualProperty,1035,1012,1
Immigration Lawyer,Deportation,1032,1010,0
Family Lawyer,ChildCustody,1015,1004,1
Tax Lawyer,TaxFraud,1021,1016,1
Immigration Lawyer,VisaApplication,1012,1010,1
Criminal Lawyer,Assault,1010,1000,0
Immigration Lawyer,Asylum,1031,1009,1
Criminal Lawyer,Burglary,1002,1002,1
Immigration Lawyer,Asylum,1007,1010,0
Immigration Lawyer,VisaApplication,1002,1009,1
Immigration Lawyer,VisaApplication,1015,1009,0
Business Lawyer,IntellectualProperty,1049,1014,0
Criminal Lawyer,Assault,1001,1002,0
Family Lawyer,Adoption,1007,1004,0
Criminal Lawyer,Burglary,1035,1002,0
Business Lawyer,BusinessFraud,1029,1013,1
Tax Lawyer,IRSAudit,1052,1016,1
Tax Lawyer,IRSAudit,1025,1017,0
Immigration Lawyer,VisaApplication,1028,1009,0
Business Lawyer,ContractDispute,1048,1013,0
Criminal Lawyer,Burglary,1020,1002,1
Business Lawyer,IntellectualProperty,1022,1014,0
Family Lawyer,ChildCustody,1020,1004,0
Tax Lawyer,IRSAudit,1030,1019,0
Criminal Lawyer,Assault,1039,1000,1
Business Lawyer,ContractDispute,1006,1013,0
Immigration Lawyer,Deportation,1034,1010,1
Family Lawyer,Divorce,1027,1005,1
Business Lawyer,ContractDispute,1021,1012,0
Business Lawyer,IntellectualProperty,1039,1012,1
Family Lawyer,Divorce,1019,1005,0
Immigration Lawyer,Deportation,1035,1009,0
Business Lawyer,IntellectualProperty,1008,1013,1
Tax Lawyer,IRSAudit,1016,1016,0
Family Lawyer,Adoption,1026,1005,1
Immigration Lawyer,Asylum,1031,1009,1
Criminal Lawyer,Murder,1040,1000,0
Tax Lawyer,TaxEvasion,1003,1018,1
Business Lawyer,ContractDispute,1040,1012,0
Tax Lawyer,IRSAudit,1030,1019,0
Criminal Lawyer,Burglary,1015,1001,1
Family Lawyer,Divorce,1035,1004,0
Immigration Lawyer,Deportation,1006,1009,0
Tax Lawyer,TaxFraud,1025,1016,0
Family Lawyer,Adoption,1030,1004,1
Immigration Lawyer,VisaApplication,1015,1009,0
Criminal Lawyer,Drug,1007,1002,0
Business Lawyer,BusinessFraud,1018,1012,0
Tax Lawyer,TaxEvasion,1001,1017,1
Criminal Lawyer,Murder,1003,1000,0
Immigration Lawyer,VisaApplication,1028,1009,0
Tax Lawyer,IRSAudit,1014,1016,1
Criminal Lawyer,Drug,1023,1000,0
Immigration Lawyer,Deportation,1031,1008,1
Business Lawyer,IntellectualProperty,1019,1013,0
Tax Lawyer,TaxFraud,1050,1016,1
Business Lawyer,BusinessFraud,1027,1013,1
Business Lawyer,BusinessFraud,1008,1014,1
Business Lawyer,BusinessFraud,1047,1013,1
Criminal Lawyer,Drug,1022,1000,0
Immigration Lawyer,VisaApplication,1008,1008,1
Tax Lawyer,TaxEvasion,1017,1017,0
Family Lawyer,ChildCustody,1011,1004,0
Criminal Lawyer,Assault,1016,1000,0
Criminal Lawyer,Assault,1010,1001,0
Tax Lawyer,IRSAudit,1040,1016,1
Business Lawyer,ContractDispute,1028,1014,1
Criminal Lawyer,Assault,1005,1000,0
Business Lawyer,IntellectualProperty,1005,1012,1
Tax Lawyer,TaxFraud,1016,1017,0
Immigration Lawyer,Deportation,1015,1010,0
Tax Lawyer,TaxFraud,1025,1016,0
Business Lawyer,BusinessFraud,1044,1012,1
Family Lawyer,Adoption,1020,1006,0
Tax Lawyer,IRSAudit,1016,1018,1
Business Lawyer,ContractDispute,1052,1012,0
Family Lawyer,ChildCustody,1026,1004,1
Tax Lawyer,TaxEvasion,1016,1019,1
Immigration Lawyer,Asylum,1011,1010,0
Immigration Lawyer,Deportation,1056,1010,1
Business Lawyer,IntellectualProperty,1042,1012,1
Criminal Lawyer,Burglary,1013,1002,1
Business Lawyer,IntellectualProperty,1054,1012,0
Criminal Lawyer,Burglary,1011,1000,1
Criminal Lawyer,Assault,1016,1000,0
Tax Lawyer,IRSAudit,1019,1018,1
Business Lawyer,IntellectualProperty,1051,1013,1
Family Lawyer,Divorce,1010,1006,1
Business Lawyer,IntellectualProperty,1009,1014,1
Tax Lawyer,TaxFraud,1010,1018,1
Tax Lawyer,TaxFraud,1004,1017,1
Business Lawyer,ContractDispute,1024,1013,1
Business Lawyer,ContractDispute,1033,1014,0
Criminal Lawyer,Murder,1034,1002,1
Tax Lawyer,TaxFraud,1011,1019,1
Criminal Lawyer,Burglary,1025,1001,1
Tax Lawyer,IRSAudit,1026,1016,0
Criminal Lawyer,Murder,1036,1000,1
Criminal Lawyer,Burglary,1008,1001,1
